"title","url","stars","name","reviewUrl","text"
"Lucciano's Aguero","https://www.google.com/maps/search/?api=1&query=Lucciano's%20Aguero&query_place_id=ChIJK3I6KlPLvJURm0d4Q6vP1AU","5","Jesús Bueno","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT214UlRHaDNTVEJ6ZFhkYVFtdE9ZMFpzY1dGM2QwRRAB!2m1!1s0x0:0x5d4cfab4378479b!3m1!1s2@1:CAIQACodChtycF9oOmxRTGh3STBzdXdaQmtOY0ZscWF3d0E%7C%7C?hl=es-419","Muy buena experiencia en Luciano’s. Alan y Rocío nos atendieron genial, muy amables y atentos en todo momento. Volveremos!!!"
"Lucciano's Aguero","https://www.google.com/maps/search/?api=1&query=Lucciano's%20Aguero&query_place_id=ChIJK3I6KlPLvJURm0d4Q6vP1AU","5","Rocio Ponce De León","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pka01XNUViMTh4Y1ZrM1QxWmlkRlF3YWpWRk5tYxAB!2m1!1s0x0:0x5d4cfab4378479b!3m1!1s2@1:CAIQACodChtycF9oOjdkMW5Eb18xcVk3T1ZidFQwajVFNmc%7C%7C?hl=es-419","Alan y Santi 10/10 atención 💪🏼💪🏼💪🏼"
"Lucciano's Aguero","https://www.google.com/maps/search/?api=1&query=Lucciano's%20Aguero&query_place_id=ChIJK3I6KlPLvJURm0d4Q6vP1AU","5","JUAN PEREZ VILLEGAS","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xoRVUyYzFSRXBaYjFSbmVraDBTSGhYU0VOQ2NsRRAB!2m1!1s0x0:0x5d4cfab4378479b!3m1!1s2@1:CAIQACodChtycF9oOlhEU2c1REpZb1Rnekh0SHhXSENCclE%7C%7C?hl=es-419","Excelente atención y sin dudas el mejor helado de la ciudad"
"Lucciano's Aguero","https://www.google.com/maps/search/?api=1&query=Lucciano's%20Aguero&query_place_id=ChIJK3I6KlPLvJURm0d4Q6vP1AU","5","Genesis Castillo","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xGclJYWTRiVlI1ZFZaSldXaFhXazlEYkhSaVZrRRAB!2m1!1s0x0:0x5d4cfab4378479b!3m1!1s2@1:CAIQACodChtycF9oOlFrRXY4bVR5dVZJWWhXWk9DbHRiVkE%7C%7C?hl=es-419","El lugar está divino, no solo por la calidad de los helados sino por la experiencia visual, una estación espacial para una heladería ¡Excelente! Frío como el espacio, rico como la 🌎
El lugar es divertido para ir con amigos y pasarla lindo. No da para una cita romántica porque va mucha gente y ruido🤭 pero está de 10 para ir y disfrutarse esos helados, a parte es PET FRIENDLY🙌🏽🌸🐶🐱"
"Lucciano's Aguero","https://www.google.com/maps/search/?api=1&query=Lucciano's%20Aguero&query_place_id=ChIJK3I6KlPLvJURm0d4Q6vP1AU","5","Doris Williams","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKWWRVTTBOVVJYT1dObGFVMUdSVkl5UjI5cmFrRRAB!2m1!1s0x0:0x5d4cfab4378479b!3m1!1s2@1:CAIQACodChtycF9oOkJYdUM0NURXOWNlaU1GRVIyR29rakE%7C%7C?hl=es-419",
"Lucciano's Aguero","https://www.google.com/maps/search/?api=1&query=Lucciano's%20Aguero&query_place_id=ChIJK3I6KlPLvJURm0d4Q6vP1AU","5","juana murias","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSMWRFcFhRV3BtWmxaaE1pMDBjVkpyYXpsdVlYYxAB!2m1!1s0x0:0x5d4cfab4378479b!3m1!1s2@1:CAIQACodChtycF9oOjR1dEpXQWpmZlZhMi00cVJrazluYXc%7C%7C?hl=es-419","Alan y desiree unos genios ❤️❤️"
"Lucciano's Aguero","https://www.google.com/maps/search/?api=1&query=Lucciano's%20Aguero&query_place_id=ChIJK3I6KlPLvJURm0d4Q6vP1AU","5","Alfonsina Blanco","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wa2FqRkNTbGRFV1ZKZlFtaENTRVV0V0RkTVIwRRAB!2m1!1s0x0:0x5d4cfab4378479b!3m1!1s2@1:CAIQACodChtycF9oOmpkajFCSldEWVJfQmhCSEUtWDdMR0E%7C%7C?hl=es-419","Alan y santino! Muy buena onda"
"Lucciano's Aguero","https://www.google.com/maps/search/?api=1&query=Lucciano's%20Aguero&query_place_id=ChIJK3I6KlPLvJURm0d4Q6vP1AU","5","José Ignacio Minig","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SdFEzcG9aRjlhTms5QmQyRnVUR3hvUlZwUVRsRRAB!2m1!1s0x0:0x5d4cfab4378479b!3m1!1s2@1:CAIQACodChtycF9oOnRtQ3poZF9aNk9Bd2FuTGxoRVpQTlE%7C%7C?hl=es-419",
"Lucciano's Aguero","https://www.google.com/maps/search/?api=1&query=Lucciano's%20Aguero&query_place_id=ChIJK3I6KlPLvJURm0d4Q6vP1AU","5","Francesca Buenaventura","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25sWU5UaGFZV3RDWkZSVlNHZEVjblZEYm1jMU4wRRAB!2m1!1s0x0:0x5d4cfab4378479b!3m1!1s2@1:CAIQACodChtycF9oOnlYNThaYWtCZFRVSGdEcnVDbmc1N0E%7C%7C?hl=es-419","Excelente servicio! El helado muy rico. Muy amable Hernan, Rocio y Dani"
"Lucciano's Aguero","https://www.google.com/maps/search/?api=1&query=Lucciano's%20Aguero&query_place_id=ChIJK3I6KlPLvJURm0d4Q6vP1AU","5","thiago Rodríguez","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xnMVJHMUxVRU5wY0RaTmFHZHlZVTE1VjJwRlFVRRAB!2m1!1s0x0:0x5d4cfab4378479b!3m1!1s2@1:CAIQACodChtycF9oOlg1RG1LUENpcDZNaGdyYU15V2pFQUE%7C%7C?hl=es-419","Excelente servicio.
Hernan, rocio y Dani👏"
