"title","stars","text","publishedAtDate","name","reviewerNumberOfReviews","isLocalGuide","reviewUrl","reviewerUrl","responseFromOwnerText","responseFromOwnerDate","originalLanguage","likesCount","visitedIn"
"Lardo & Rosemary","5",,"2026-05-09T15:36:45.563Z","IANNUZZI","6","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21veGVIUnFUMVpvU0RkeWJIcFRjelpOV2xOSk4zYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOmoxeHRqT1ZoSDdybHpTczZNWlNJN3c%7C%7C?hl=es-419","https://www.google.com/maps/contrib/109245955221349558002?hl=es-419",,,,"0",
"Lardo & Rosemary","4","El lugar está muy bueno y muy bien aclimatado.
El servicio es fenomenal, muy buena atención y muy atentos.
La comida esta muy rica, pero hay varios platos que no son nada de otro mundo.
Se destaca el choclo y el sandwich de lomo, pero la anana adentro queda rara. Yo pensé que era tomate al principio incluso.
Los postres bastante flojos.
Usé dos bigbox por todo lo que ven en las fotos. 100% recomendada la experiencia la verdad.","2026-05-02T22:00:23.198Z","Benjamín Alvarado","38","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pOS1gxSklOalZqY2xoemFHRnZPVFV4ZHpackxVRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOjNKX1JINjVjclhzaGFvOTUxdzZrLUE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/107254041885079406723?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Buena experiencia","2026-04-30T16:30:13.105Z","Lic. Varela","2","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WYVdXZEpZV0oxYWxsaWJ6UjVPWGR0UjBwR2FGRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOnVaWWdJYWJ1allibzR5OXdtR0pGaFE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/101520842374075874115?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Excellente menu, degustacion, atmosfera. Esta para volver.","2026-04-30T00:17:36.933Z","T. R.","3","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGTFoxOTVSREY1WDJGSlJXdEJVbFV5Vms5M1dGRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOkFLZ195RDF5X2FJRWtBUlUyVk93WFE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/101263736853538447802?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Juani <3","2026-04-28T12:25:03.124Z","Solene ROUX","9","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xKa2IzQjRaMFpaU2s5c2ExVjBibHBoYUZWeGRYYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOlJkb3B4Z0ZZSk9sa1V0blphaFVxdXc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/112194700247853064833?hl=es-419",,,"sw","0",
"Lardo & Rosemary","5",,"2026-04-25T16:29:55.678Z","Nancy Garçon","10","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2poQ1JWVkhPR0p1UzNFM1JUUjJORFp0VEY5WVkwRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOjhCRVVHOGJuS3E3RTR2NDZtTF9YY0E%7C%7C?hl=es-419","https://www.google.com/maps/contrib/109668325178655477048?hl=es-419",,,,"0",
"Lardo & Rosemary","5",,"2026-04-25T14:24:29.053Z","Agustina Fernandez Diaz","2","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xcmMycFphRmRsTmtNMllqbHBTMDFJVW0xeVJVRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOm1rc2pZaFdlNkM2YjlpS01IUm1yRUE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/115871318639316247429?hl=es-419",,,,"0",
"Lardo & Rosemary","5","Increíble todo!!!! La atención del encargado, Ramiro, la verdad excelente!!! Muy atento y explicando cada detalle de cada plato! Volveremos pronto!","2026-04-25T00:57:52.909Z","Mechy Olivera wells","9","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SWE5rbExiVGhqZERKeWFESk9TVGR0U0U1WE9WRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOnRXNklLbThjdDJyaDJOSTdtSE5XOVE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/114120757671868368128?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","El mejor lugar de platitos. Muy buenos vinos. Es un ambiente íntimo, pero muy relajado","2026-04-11T16:47:57.227Z","Maria Fernanda Gonzalez","39","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pnd09EUm1hbFE0ZW1Kb2JUUTBiVmhrV0VwUk5HYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOjgwODRmalQ4emJobTQ0bVhkWEpRNGc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/114795477332622232595?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","A different experience from traditional restaurants. Restricted options, but very well executed with incredible flavors.","2026-04-08T00:21:35.129Z","Evandro Oliveira","54","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2w5c1RITlNXV1U0VEZSeU5FUk9ia3hmYlVwdGNuYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOl9sTHNSWWU4TFRyNERObkxfbUptcnc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/100803520554857874324?hl=es-419",,,"en","0",
