Marca temporal,¿Cómo calificarías en general al BootCamp?,¿Qué tan conforme estuviste con la organización del evento? ,¿Qué opinás acerca del trabajo realizado por nuestro equipo organizador?,¿Qué te pareció el proceso de acreditación? ,¿Qué te pareció el formulario de inscripción al BootCamp?,¿Estuviste conforme con la categoría a la que fuiste asignado?,"Si tu respuesta en la pregunta anterior fue no, ¿en cuál te hubiese gustado estar?",¿Qué tan útil creés que fue el hilo conductor de las charlas durante el BootCamp?,¿Qué tan conforme estuviste con las charlas de los oradores?,¿Cuál fue tu orador favorito? ¿Por qué?,¿Qué tan conforme estuviste con los mentores?,"Si quieres, dejanos un comentario sobre los mentores:",¿Qué tan conforme estuviste con el after con empresas?,¿Qué tan conforme estuviste con la comida?,¿Recomendarías el BootCamp a tus amigos o familia?,¿Qué recomendación nos harías para tener en cuenta en la próxima edición?,¿Te hospedaste en el Hostel Lounge BA?,¿Te fue sencillo el traslado del aeropuerto/terminal hasta el hostel? ¿Por qué?,¿Qué te pareció el traslado de Lounge BA a las ubicaciones del BootCamp? ,"Cuando llegaste a la habitación, ¿estaba todo en buenas condiciones? ¿Necesitaste ayuda en algo por parte del hotel? Contanos",¿Estás conforme con la elección de la habitación? ¿Sufriste alguna incomodidad? ,¿Algo que quieras decirnos? Te leemos,¿Conoces a la empresa Belo?,¿Qué es lo que más te gusta de la App?,¿Qué te gustaría que sumemos a la App?,Te dejamos este espacio para hacer algún comentario extra
30/05/2025 12:02:27,10,10,Excelente,10,10,Si,,10,10,"Ualá, por cómo fue llevando la charla con anécdotas personales. Pienso que dar ejemplos reales es la mejor forma que uno tiene para hacerse entender y él lo supo hacer muy bien. ",10,Cracks,10,10,10,Sumarme al equipo jajaja,No,,,,,,No la conozco,,,
30/05/2025 12:14:27,8,9,Muy bueno,7,6,Si,,8,10,"Los chicos de canillita, por la manera en que llevan su negocio. Mario Pergolini, fue una charla interesante y su personalidad.",8,,4,8,10,"Algunas charlas eran muy útiles en cuanto a contenido. Habría estado bueno que esas charlas(no todas) hubieran estado en un bloque anterior a uno de trabajo donde luego teníamos que desarrollar con lo visto en esa charla. En algunas pasaba al revés, primero trabajamos y después teníamos la charla donde había conceptos interesantes y luego teníamos que volver sobre lo que teníamos para iterarlo con lo de la charla",No,,,,,,No la conozco,,,
30/05/2025 12:18:03,10,10,"un lujo, se notó todo lo que trabajaron y salio excelente",10,8,Si,,7,8,"Gastón Parisier, fue bastante inspirador. Paula Estrada también, muy valiosa la info",6,"hubiera estado bueno que se presentaran, contaran de qué sabían, para saber en qué nos podían ayudar",3,8,10,estaría bueno que los grupos reciban feedback del jurado aunque no hayan pasado a la final,Sí,"si, tomé uber",Muy bueno,todo en condiciones cuando llegamos. sucedió que nos quedamos sin papel higiénico el día 2. y las duchas no alcanzaban para la cantidad de gente que éramos,era bastante chiquita pero todo bien,el dispenser perdía agua y el living estaba constantemente inundado,Conoci la empresa en el evento,,,"gracias por todo, salió hermoso y se notó todo el laburo que hubo atrás <3 felicitaciones "
30/05/2025 12:28:30,10,10,"Excelente, de verdad la pasé increíble y todos fueron súper atentos.",10,10,Si,,10,10,Pergolini me gustó mucho porque se nota que siempre está a la vanguardia y me pareció muy interesante su punto de vista.,10,Nos ayudaron un monton y nos dieron muy buenos consejos. Gracias por la predisposición y saludos de mi parte!,10,10,10,"Quizás el 2do día me hubiera gustado que nos apuren para tener el pitch porque el 3er día no nos dio el tiempo para armar algo más creativo. Pero en general amé el bootcamp y se lo he recomendado a todo mi círculo de amigos. Gracias de corazón por todo el esfuerzo, es una experiencia que no me voy a olvidar nunca.",Sí,"Si, me tomé un taxi y llegué bien.",Muy bueno,Todo excelente.,Muy conforme.,Aguante Mendoza! 🙌,"Sí, ya conocía la empresa desde antes",,,
30/05/2025 13:29:42,7,8,Muy organizados,9,7,Si,"Educación, Salud y Bienestar",10,10,"Gaston Parsier, me pareció un tipo muy copado y además es un buenísimo emprendedor",7,"Nos ayudaron mucho, pero a veces pasaban muy seguidos y nos interrumpían ",7,8,7,Estuvo bueno,No,,,,,,No la conozco,,,
30/05/2025 14:21:28,9,9,"Espectacular, nada que decir de negativo ",10,8,Si,,5,9,"Fue bebe el creador de BOMBO, me sentí muy identificado con su historia y manera de emprender y su historia de vida me llegó mucho ",7,"Muy bueno estuvo, el tema es que por ahí había diferencia de opiniones y venía un mentor y nos daba su punto de vista con respecto a algo. Después venía otro mentor y nos decía algo completamente diferente ",10,7,10,"A lo mejor un poquito más de tiempo de relax por ejemplo después del almuerzo, porque el día es muy largo y agitado por lo que estaría bueno poder recargar un poco las energías ",Sí,"Si fue re simple, me fui en subte y no fue nada de otro mundo ",Muy bueno,Estaba todo de 10 la habitación ,"Nono, todo de 10",Faltaba shampoo y jabón que decían que iba a haber y terminamos comprando entre todos ,"Sí, ya conocía la empresa desde antes",-,-,"Gracias por todo, en términos generales el evento fue UNA LOCURA. Pienso en el evento y esos días y se me caen las lagrimitas "
30/05/2025 16:59:20,10,10,Muy genios todos y muy organizado ,10,10,Si,,10,9,"Mario Pergolini, porque no solo sabía un montón acerca de acuatlidad sino que también era gracioso y hacía la entrevista super entretenida",10,,10,10,10,"Al tener si o si dos ganadores por categoría, siento que hay proyectos mucho mejores quedándose afuera. A lo que voy es que quizás en entretenimiento (por ejemplo) había solo 1 proyecto destacable y no 2, cuand en otras categorías habían 3. Por lo que le dan la chance de llegar a la final a un proyecto no tan interesante y dejan a otro mejor afuera. ",No,,,,,,"Sí, ya conocía la empresa desde antes",,,"La verdad me encantó la experiencia, si la pudiese repetir lo haría sin dudas. Todo el equipo muy buena onda y con la mejor predisposición. Me gustó mucho todo la verdad mil gracias 🙌🏼"
30/05/2025 19:41:22,10,10,Muy bueno,10,10,Si,,8,9,Big box ,10,,10,6,10,Dejar más en claro las consignas diarias,No,,,,,,No la conozco,,,
30/05/2025 23:37:17,10,10,"Todo espectacular chicos. Son unos cracks que organizaron todo el evento para alguien que no era ustedes y por eso los recontra felicito, son un gran equipo pero mas son grandes personas.",10,10,No,Ambiente y Agroindustria,10,10,"Gaston Parisier, me gusto los mensajes que me dejo.",10,,10,10,10,Creo que estuvo todo perfecto.,No,,,,,,Conoci la empresa en el evento,,,
31/05/2025 16:41:43,8,9,Todos muy copados ,8,10,Si,,9,10,"El de uala, me gusto la relacion entre vida y emprendurismo ",7,"Algunos de ayuda, otros de mas",8,10,9,No se,No,,,,,,"Sí, ya conocía la empresa desde antes",Pagar sin impuestos,Tiene lo que necesito,Gracias por la buena onda
3/06/2025 8:52:32,,,,,,,,,,,,,,,,,,,,,,,,,,
