Marca temporal,¿Cómo calificarías en general al BootCamp?,¿Qué tan conforme estuviste con la organización del evento? ,¿Qué opinás acerca del trabajo realizado por nuestro equipo organizador?,¿Qué te pareció el proceso de acreditación? ,¿Qué te pareció el formulario de inscripción al BootCamp?,¿Estuviste conforme con la categoría a la que fuiste asignado?,"Si tu respuesta en la pregunta anterior fue no, ¿en cuál te hubiese gustado estar?",¿Qué tan útil creés que fue el hilo conductor de las charlas durante el BootCamp?,¿Qué tan conforme estuviste con las charlas de los oradores?,¿Cuál fue tu orador favorito? ¿Por qué?,¿Qué tan conforme estuviste con los mentores?,"Si quieres, dejanos un comentario sobre los mentores:",¿Qué tan conforme estuviste con el after con empresas?,¿Qué tan conforme estuviste con la comida?,¿Recomendarías el BootCamp a tus amigos o familia?,¿Qué recomendación nos harías para tener en cuenta en la próxima edición?,¿Te hospedaste en el Hostel Lounge BA?,¿Te fue sencillo el traslado del aeropuerto/terminal hasta el hostel? ¿Por qué?,¿Qué te pareció el traslado de Lounge BA a las ubicaciones del BootCamp? ,"Cuando llegaste a la habitación, ¿estaba todo en buenas condiciones? ¿Necesitaste ayuda en algo por parte del hotel? Contanos",¿Estás conforme con la elección de la habitación? ¿Sufriste alguna incomodidad? ,¿Algo que quieras decirnos? Te leemos,¿Conoces a la empresa Belo?,¿Qué es lo que más te gusta de la App?,¿Qué te gustaría que sumemos a la App?,Te dejamos este espacio para hacer algún comentario extra
28/05/2025 16:17:37,10,9,Todos unos fenómenos. Genial todo.,8,8,No,"Educación, Salud y Bienestar",8,9,"Claramente Gastón, el CEO de BigBox. No se si es porque fue la primera o que, pero es la que más me llevo. Es un fenómeno, y me sorprende que no haya tenido nada preparado. Este tipo de gente es tan capa que con tan solo contarnos su vida ya aprendemos. Fue gracioso, entretenido, motivacional, y me sirvió muchísimo. Fue la que más impactó mi vida digamos, con respecto a las demás.",6,"El grupo de trama fenomenal, pero quizás los mentores fueron lo más flojito, siendo sincero, aunque posta querían aayudar y fueron buena onda. Algunos no tenían idea, otros decían completamente lo contrario al anterior, y había gran disparidad. Por ejemplo, Manu aconsejó a 3/4 grupos y dos de esos llegaron a la final, quizá si él me recomendaba algunas cosas me hubiera ido mucho mejor en el pitch. En resumen, había de todo. Algunos muy buenos, otros no tanto. Pero pasaban a cada rato, estaban atentos.",6,9,10,"Son lo más. Yo me esperaba comer unos sanguchitos en el piso y me lleve una gran sorpresa! La verdad ni idea que recomendar porque estuvo todo fenomenal. Lo único que cambiaría sería más tiempo para el pitch. Está bien que quieran que haya sorpresas y todo, pero TODOS creíamos que una vez que enviabas el pdf, ibas a tener una hora para practicar el pitch, desde las 2 hasta las 3. Pero de la nada vino una meditación que sinceramente no me sirvió de nada porque, ¿cómo iba a estar calmado si no puede practicar mi pitch? Hubo poco tiempo para eso. No se si hubiera cambiado mucho sin la meditación, pero bueno me hubiera gustado estar más preparado. Llegué al pitch primero y no se ni que dije. En resumen, un poco más de tiempo para preparar las cosas. Pero todo lo demás fenomenal, son unos capos TODOSSSSS MIL GRACIASSSSSSSSSS DE VERDADD SE CALZARON LA 10!!!!!!!!",No,,,,,,No la conozco,No se de que App me hablan,,Los amooooooooooooooooooooooooo gracias por todoooooooooooooooooo son lo máss. Verdaderamente cambiaron la perspectiva de todos. No me imagino el tiempo que les llevó todo esto. Unos grossssossss.
28/05/2025 16:23:02,9,10,"Todo de 10, muy buena disposición hacia todo",8,7,Si,,9,7,"Alfonso Amat, alto crack y aporto mucho valor con experiencia real.",7,"Buena ayuda pero te hacían perderte o confundían con algunas cuestiones, no siento q este del todo mal pero al darte su honesta opinión muchos se contradecían entre ellos.",9,4,10,"Matias Calamutti puede dar una charla mucho más beneficiosa contando su experiencia real de emprendedor, no explicando en detalle todos y cada uno de los modelos de negocios que existen. ",No,,,,,,"Sí, ya conocía la empresa desde antes","Fácil de usar, muy interactiva para darte todas sus funcionalidades.",Not sure about that,"No termine de entender que hace Consultatio como empresa, siento q no fue explicado más que poner su nombre en la categoría.(De chusma nomás lo menciono)"
28/05/2025 16:45:58,9,10,"Muy buen equipo, siempre atentos si faltaba algo ",8,7,No,Logística e Infraestructura,7,9,Perfolini. Por como dio la charla y los temas que se dieron en esta me interesan ,9,,7,8,10,No se me ocurre que se puede mejorar ,No,,,,,,Conoci la empresa en el evento,,,Una experiencia 10/10
28/05/2025 16:48:12,10,10,"Estuvieron todos de 10, siempre que tuve un inconveniente, me lo resolvieron al instante.",10,10,Si,,10,9,Mi favorito fue Gastón Parisier por la cantidad de temas que abordó durante toda la charla y las herramientas que me dejó para mi futuro.,10,"Realmente nos ayudaron muchísimo, si no fuera por ellos y sus críticas constructivas durante los distintos días, no podríamos haber presentado un tan excelente producto en el día final.",10,10,10,Solo diré que el producto ganador del BootCamp es un aparato que ya existe tal cual fue presentado.,Sí,"A mí individualmente si porque soy residente de bsas, solo que al estar a más de 2 horas del lugar donde se desarrolló el evento, no me quedaba otra más que residir en hostel durante esos días",Muy bueno,"No necesité ayuda para nada, estaba todo muy claro y las chicas que me atendieron me explicaron muy bien todo desde un principio.","Muy conforme, todo estuvo perfecto.","Quiero agradecerles por darme un fin de semana increíble lleno de aprendizajes y mucha gente con la que compartí hermosos momentos, realmente lo que hicieron por nosotros no tiene precio, para siempre agradecido porque me ayudaron a crecer como persona y darme cuenta de que es lo que me gusta y lo que quiero para mi vida. Muchas gracias por tanto.",Conoci la empresa en el evento,,,
28/05/2025 16:52:33,10,8,10 PTOS,10,10,Si,,6,8,"Pergolini, es un adelantado y sabe mucho de tecnologia",10,PABLITO el mentor mas crack de toda la jornada del bootcamp,8,6,10,"Quizas si es que tuvieron (no lo se) un itinerario, como que manden el itinerario por whats-app como para tener una idea de los tiempos",Sí,"Si, un subte C y D",Bueno,"No, no tenia puerta y faltban toallas",No. No tenia puerta no pude dormir nada,"Nada que gracias, aprendi mucho y para la gente del interior esto esta buenisimo porque todos coincidimos que eventos como este alla no existe, o no con esta calidad, entonces darle la posibilidad a gente de todo el pais es muy valorable. ",No la conozco,,,"Nada loco gracias. Aprovechen el ITBA que es una de las instituciones mas prestigiosas que pise en mi vida, y eso que no estudio ahi."
28/05/2025 16:57:42,10,10,Increible,10,10,Si,,10,10,"Pergolini, no sabia todos sus proyectos aparte de vorterix",10,,10,4,10,Pensar que charlas luego del almuerzo,No,,,,,,"Sí, ya conocía la empresa desde antes",,,Gracias por todo.
28/05/2025 17:44:05,9,10,La gente del staff era súper capacitada le preguntabas algo y siempre sabía sabían responderte. Hasta incluso tenían un Aura. Se notan que eligieron a gente muy capaz tanto los que te ayudaban durante el evento con la idea la problemática la solución el Pitch y tanto los que organizaban el evento,10,10,Si,,8,9,Me encantó Me fascinó el orador de guay combination no me acuerdo el nombre porque era muy difícil pero un crack. Y como tenía una idea que iba por ahí a mí me tocó logística así que todo lo que él decía y dijo me sirvió mucho. ,9,"Todos los mentores unos genios aunque a veces como que no les dábamos tanta bola porque teníamos que definir algo en el equipo. En particular Ulises Samelnik, Joaco de Alba y uno más (rubio con pelo como milei) fueron Top! Sirvió mucho cuando nos hateaban nuestra Startup para que encontramos soluciones a esos problemas. ",10,10,10,"La rompieron posta, pero personalmente en el segundo día/tercero me costó seguirle el hilo de alguna charlas... Me refiero a que algunas charlas eran súper interesantes, pero ",No,,,,,,No la conozco,,,Gracias!!!! ❤️ 
28/05/2025 17:46:33,10,10,"La organización fue excelente, la dedicación y trabajo de cada uno de los chicos de trama fue irreprochable. ",9,8,Si,,9,9,Founder FlyBondi y Mario Pergolini.,7,"Creo que habían demasiados mentores, y que apenas terminabas de hablar con uno y recibir su feedback llegaba el siguiente y así. Por lo que invertíamos mucho tiempo en explicarles todo el tiempo y no avanzábamos. Propondría una menor cantidad de mentores ",5,7,10,"Síganlo haciendo chicos, la rompen toda. Espero poder colaborar con ustedes o con el bootcamp en algún futuro lejano o cercano. Muchas Gracias por todo",Sí,Si. Solo tenía mi mochila. Es fácil llegar en colectivo y caminando,Muy bueno,Si. Solo faltaba una cortina para la ventana que daba a la calle. El resto excelente,Ninguna,Creo que la cantidad de baños y duchas estaban muy justas. Más teniendo en cuenta que todos llegábamos y nos íbamos al mismo horario. Solo eso respecto al hostel,"Sí, ya conocía la empresa desde antes",No suelo usarla ,Ya la tengo ,"Impecable organización, increíbles personas. Se vió todo el tiempo el trabajo previo y en el momento de cada uno. Felicitaciones de verdad, sepan que posiblemente le han cambiado la manera de ver la vida y su futuro a más de uno. Gracias totales trama."
28/05/2025 18:21:14,10,8,Correcto.,10,7,Si,,10,10,Me mataron porque me perdí en la cantidad de nombres. Co-Founder de Ualá.,8,,10,8,10,.,Sí,Si,Muy bueno,Todo okey,Todo okey,-,"Sí, ya conocía la empresa desde antes",Facilidad de pago en exterior,,
28/05/2025 18:57:45,10,10,"Considero que hicieron todo correctamente, para que el bootcamp salga increíble.",10,10,Si,,10,10,"Sería injusto que elija a uno, de entre todos los oradores. Todos lograron transmitir una gran enseñanza, y me fueron de utilidad.",10,"Quiero agradecerles a todos los mentores, por su ayuda y buena predisposición. Me encantaría poder ocupar su lugar en próximos bootcamps.  ",10,10,10,"Todo salió increíble. Como mejora, propondría que haya más stands de empresas.",No,,,,,,Conoci la empresa en el evento,Nunca la utilicé.,Nunca la utilicé.,Gracias por todo💙💙
